zip,city,area_code,county,state,metro
60680,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60681,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60682,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60684,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60685,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60686,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60687,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60688,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60689,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60690,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60691,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60693,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60694,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60695,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60696,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60697,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60699,Chicago,312/872,Cook County,Illinois - IL,"Chicago, IL (1600)"
60701,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60706,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60707,Chicago,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60712,Chicago,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60803,Chicago,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60804,Chicago,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60805,Chicago,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60827,Chicago,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60411,Chicago Heights,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60412,Chicago Heights,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60629,Chicago Lawn,773,Cook County,Illinois - IL,"Chicago, IL (1600)"
60415,Chicago Ridge,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
60804,Cicero,708/464,Cook County,Illinois - IL,"Chicago, IL (1600)"
